Type NAME VNOM PLOAD QLOAD BSHUNT QSHUNT;

BUS    G1      20.0    30.0     15.0    0.0   0.0
BUS    G2      20.0    30.0     15.0    0.0   0.0
BUS    G3      20.0     0.0      0.0    0.0   0.0
BUS    G4      20.0     0.0      0.0    0.0   0.0
BUS    G5      20.0     0.0      0.0    0.0   0.0
BUS    G6      20.0     0.0      0.0    0.0   0.0
BUS    B101   150.0   360.0    155.0   70.0   0.0
BUS    B102   150.0   360.0    160.0   70.0   0.0
BUS    B103   150.0   330.0    150.0    0.0   0.0
BUS    B104   150.0   320.0    145.0   70.0   0.0
BUS    B105   150.0   360.0    170.0   70.0   0.0
BUS    B106   150.0   340.0    125.0    0.0   0.0
BUS    B107   150.0   340.0    130.0   70.0   0.0
BUS    B301   380.0     0.0      0.0    0.0   0.0
BUS    B302   380.0     0.0      0.0    0.0   0.0
BUS    B303   380.0     0.0      0.0    0.0   0.0
BUS    B304   380.0     0.0      0.0    0.0   0.0
BUS    B305   380.0     0.0      0.0    0.0   0.0
BUS    B306   380.0     0.0      0.0    0.0   0.0
BUS    B307   380.0     0.0      0.0    0.0   0.0
BUS    B308   380.0   230.0     70.0    0.0   0.0
BUS    B309   380.0   220.0     75.0    0.0   0.0
BUS    B310   380.0     0.0      0.0    0.0   0.0
BUS    B311   380.0   100.0     30.0    0.0   0.0
BUS    B313   380.0   300.0     70.0    0.0   0.0

BUS    E1     380.0     0.0      0.0    0.0   0.0
BUS    E2     380.0     0.0      0.0    0.0   0.0
BUS    E3     380.0     0.0      0.0    0.0   0.0
