TYPE NAME CON_BUS MON_BUS P Q VIMP SNOM QMIN QMAX BR;

GENER     G1          G1           G1       700.       0.0     1.0          1000.0      -250.00       620.0     1
GENER     G2          G2           G2         0.       0.0     1.0          1000.0      -250.00       690.0     1
GENER     G3          G3           G3       375.       0.0     0.9900       450.0        -50.00       220.0     1
GENER     G4          G4           G4       250.       0.0     0.9900       300.0        -50.00       140.0     1
GENER     G5          G5           G5       375.       0.0     0.9900       450.0        -50.00       210.0     1
GENER     G6          G6           G6       800.       0.0     1.0100       1000.0      -250.00       550.0     1

GENER     E1          E1           E1        66.1      0.0     1.0700       5000.0      -999.00      9999.0     1
GENER     E2          E2           E2       174.       0.0     1.0700       5000.0      -999.00      9999.0     1
GENER     E3          E3           E3         0.0      0.0      1.0700       5000.0      -999.00      9999.0     1
